rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][14]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
2,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][15]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
3,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][16]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
4,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][17]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
5,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][18]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
6,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][19]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
7,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][20]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
8,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][21]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
9,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][22]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
10,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][23]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
11,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][24]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
12,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][25]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
13,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][26]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
14,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][27]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
15,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][28]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
16,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][29]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
17,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][30]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
18,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][31]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
19,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][32]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
20,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][33]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
21,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][34]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
22,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][35]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
23,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][36]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
24,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][37]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
25,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][38]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
26,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][39]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
27,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][40]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
28,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][41]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
29,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][42]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
30,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][43]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
31,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][44]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
32,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][45]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
33,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][46]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
34,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][47]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
35,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][48]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
36,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][49]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
37,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][50]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
38,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][51]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
39,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][52]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
40,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][53]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
41,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][54]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
42,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
43,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][56]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
44,0.244,5.000,4.753,1.085,3.668,0.772,5,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][57]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
