rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
20,0.417,5.000,4.580,1.105,3.475,0.759,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][2]/D","P2 popcount capture","FDCE=2;LUT3=2;LUT5=2;LUT6=1"
21,0.417,5.000,4.580,1.105,3.475,0.759,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=3;LUT6=1"
22,0.417,5.000,4.580,1.105,3.475,0.759,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[17]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][2]/D","P2 popcount capture","FDCE=2;LUT3=2;LUT5=2;LUT6=1"
23,0.417,5.000,4.580,1.105,3.475,0.759,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[17]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=3;LUT6=1"
24,0.417,5.000,4.580,1.105,3.475,0.759,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][2]/D","P2 popcount capture","FDCE=2;LUT3=2;LUT5=2;LUT6=1"
25,0.417,5.000,4.580,1.105,3.475,0.759,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=3;LUT6=1"
26,0.426,5.000,4.600,2.146,2.454,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
27,0.479,5.000,4.547,2.093,2.454,0.540,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[6]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
28,0.600,5.000,4.426,2.168,2.258,0.510,7,"gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[5]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
29,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[0].i_p2_pop_slice/bool_result_q_reg[17]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
30,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[0].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
31,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[1].i_p2_pop_slice/bool_result_q_reg[17]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
32,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[1].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
33,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[17]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
34,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
35,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[17]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
36,0.671,5.000,4.326,1.105,3.221,0.745,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[49]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=2;LUT6=2"
37,0.680,5.000,4.346,2.088,2.258,0.520,7,"gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[4]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
