rank,net,fanout,driver_pin,driver_type,data_loads,ce_loads,reset_loads,clock_loads,lut_ram_loads,other_loads,main_load_cells
36,"i_vrf/vrf_b0_reg_r1_0_63_63_63/A2",216,"i_vrf/vrf_b0_reg_r1_0_63_0_2_i_13/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
37,"i_vrf/p_1_in[0]",216,"i_vrf/vrf_b3_reg_r1_0_63_0_2_i_15/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
38,"i_vrf/vrf_b1_reg_r1_0_63_63_63/A1",216,"i_vrf/vrf_b1_reg_r1_0_63_0_2_i_14/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
39,"i_vrf/vrf_b2_reg_r1_0_63_63_63/A0",216,"i_vrf/vrf_b2_reg_r1_0_63_0_2_i_15/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
40,"i_vrf/p_1_in[5]",216,"i_vrf/vrf_b3_reg_r1_0_63_0_2_i_10/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
41,"i_vrf/vrf_b0_reg_r1_0_63_63_63/A1",216,"i_vrf/vrf_b0_reg_r1_0_63_0_2_i_14/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
42,"i_vrf/<const0>",168,"i_vrf/GND/G","GND",0,0,0,0,168,0,"RAMD64E=168"
43,"i_vrf/lane_shift_nibble[0]",156,"i_vrf/lane_result_q[3][58]_i_10/O","LUT6",0,0,0,0,156,0,"LUT5=30;LUT6=126"
44,"i_vrf/lane_result_q[3][61]_i_13_n_0",138,"i_vrf/lane_result_q[3][61]_i_13/O","LUT6",0,0,0,0,138,0,"LUT5=12;LUT6=126"
45,"i_vrf/lane_result_q[3][60]_i_26_n_0",135,"i_vrf/lane_result_q[3][60]_i_26/O","LUT2",0,0,0,0,135,0,"LUT4=47;LUT5=2;LUT6=86"
46,"i_vrf/lane_result_q[3][60]_i_10_n_0",135,"i_vrf/lane_result_q[3][60]_i_10/O","LUT6",0,0,0,0,135,0,"LUT5=8;LUT6=127"
47,"i_vrf/lane_result_q[3][61]_i_28_n_0",135,"i_vrf/lane_result_q[3][61]_i_28/O","LUT2",0,0,0,0,135,0,"LUT4=47;LUT5=2;LUT6=86"
48,"i_vrf/lane_result_q[3][61]_i_27_n_0",135,"i_vrf/lane_result_q[3][61]_i_27/O","LUT2",0,0,0,0,135,0,"LUT4=47;LUT5=2;LUT6=86"
49,"i_vrf/lane_result_q[3][60]_i_25_n_0",135,"i_vrf/lane_result_q[3][60]_i_25/O","LUT2",0,0,0,0,135,0,"LUT4=47;LUT5=2;LUT6=86"
50,"i_vrf/lane_result_q[3][62]_i_12_n_0",132,"i_vrf/lane_result_q[3][62]_i_12/O","LUT6",0,0,0,0,132,0,"LUT5=25;LUT6=107"
