rank,net,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
60,"ecc_product_pair_reg_0_3_37_37/WCLK",2484,"",2484,"0;1;2;3",1
61,"ecc_product_pair_reg_0_3_38_38/WCLK",2484,"",2484,"0;1;2;3",1
62,"ecc_product_pair_reg_0_3_39_39/WCLK",2484,"",2484,"0;1;2;3",1
63,"ecc_product_pair_reg_0_3_3_3/WCLK",2484,"",2484,"0;1;2;3",1
64,"ecc_product_pair_reg_0_3_40_40/WCLK",2484,"",2484,"0;1;2;3",1
65,"ecc_product_pair_reg_0_3_41_41/WCLK",2484,"",2484,"0;1;2;3",1
66,"ecc_product_pair_reg_0_3_42_42/WCLK",2484,"",2484,"0;1;2;3",1
67,"ecc_product_pair_reg_0_3_43_43/WCLK",2484,"",2484,"0;1;2;3",1
68,"ecc_product_pair_reg_0_3_44_44/WCLK",2484,"",2484,"0;1;2;3",1
69,"ecc_product_pair_reg_0_3_45_45/WCLK",2484,"",2484,"0;1;2;3",1
70,"ecc_product_pair_reg_0_3_46_46/WCLK",2484,"",2484,"0;1;2;3",1
71,"ecc_product_pair_reg_0_3_47_47/WCLK",2484,"",2484,"0;1;2;3",1
72,"ecc_product_pair_reg_0_3_48_48/WCLK",2484,"",2484,"0;1;2;3",1
73,"ecc_product_pair_reg_0_3_49_49/WCLK",2484,"",2484,"0;1;2;3",1
74,"ecc_product_pair_reg_0_3_4_4/WCLK",2484,"",2484,"0;1;2;3",1
75,"ecc_product_pair_reg_0_3_50_50/WCLK",2484,"",2484,"0;1;2;3",1
76,"ecc_product_pair_reg_0_3_51_51/WCLK",2484,"",2484,"0;1;2;3",1
77,"ecc_product_pair_reg_0_3_52_52/WCLK",2484,"",2484,"0;1;2;3",1
78,"ecc_product_pair_reg_0_3_53_53/WCLK",2484,"",2484,"0;1;2;3",1
79,"ecc_product_pair_reg_0_3_54_54/WCLK",2484,"",2484,"0;1;2;3",1
80,"ecc_product_pair_reg_0_3_55_55/WCLK",2484,"",2484,"0;1;2;3",1
81,"ecc_product_pair_reg_0_3_56_56/WCLK",2484,"",2484,"0;1;2;3",1
82,"ecc_product_pair_reg_0_3_57_57/WCLK",2484,"",2484,"0;1;2;3",1
83,"ecc_product_pair_reg_0_3_58_58/WCLK",2484,"",2484,"0;1;2;3",1
84,"ecc_product_pair_reg_0_3_59_59/WCLK",2484,"",2484,"0;1;2;3",1
85,"ecc_product_pair_reg_0_3_5_5/WCLK",2484,"",2484,"0;1;2;3",1
86,"ecc_product_pair_reg_0_3_60_60/WCLK",2484,"",2484,"0;1;2;3",1
87,"ecc_product_pair_reg_0_3_61_61/WCLK",2484,"",2484,"0;1;2;3",1
88,"ecc_product_pair_reg_0_3_62_62/WCLK",2484,"",2484,"0;1;2;3",1
89,"ecc_product_pair_reg_0_3_63_63/WCLK",2484,"",2484,"0;1;2;3",1
90,"ecc_product_pair_reg_0_3_64_64/WCLK",2484,"",2484,"0;1;2;3",1
91,"ecc_product_pair_reg_0_3_65_65/WCLK",2484,"",2484,"0;1;2;3",1
92,"ecc_product_pair_reg_0_3_66_66/WCLK",2484,"",2484,"0;1;2;3",1
93,"ecc_product_pair_reg_0_3_67_67/WCLK",2484,"",2484,"0;1;2;3",1
94,"ecc_product_pair_reg_0_3_68_68/WCLK",2484,"",2484,"0;1;2;3",1
95,"ecc_product_pair_reg_0_3_69_69/WCLK",2484,"",2484,"0;1;2;3",1
96,"ecc_product_pair_reg_0_3_6_6/WCLK",2484,"",2484,"0;1;2;3",1
97,"ecc_product_pair_reg_0_3_70_70/WCLK",2484,"",2484,"0;1;2;3",1
98,"ecc_product_pair_reg_0_3_71_71/WCLK",2484,"",2484,"0;1;2;3",1
99,"ecc_product_pair_reg_0_3_72_72/WCLK",2484,"",2484,"0;1;2;3",1
100,"ecc_product_pair_reg_0_3_73_73/WCLK",2484,"",2484,"0;1;2;3",1
