rank,slack_ns,required_time_ns,arrival_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,startpoint_clock,endpoint_clock,path_group,major_hdec_stage_guess,key_path_tokens,main_cells
1,0.328,5.000,4.698,4.698,2.324,2.374,8,"gen_lane[1].i_lane/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[8]/D","clk_i","clk_i","","P3 HMATCH reduction/compare","HMATCH;popcount;FSM_state;state_q","CARRY4=4;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
2,0.432,5.000,4.594,4.594,2.146,2.448,6,"gen_lane[1].i_lane/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[7]/D","clk_i","clk_i","","P3 HMATCH reduction/compare","HMATCH;popcount;FSM_state;state_q","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
3,0.485,5.000,4.541,4.541,2.093,2.448,6,"gen_lane[1].i_lane/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[6]/D","clk_i","clk_i","","P3 HMATCH reduction/compare","HMATCH;popcount;FSM_state;state_q","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
4,0.606,5.000,4.420,4.420,2.168,2.252,7,"gen_lane[3].i_lane/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[5]/D","clk_i","clk_i","","P3 HMATCH reduction/compare","HMATCH;popcount;FSM_state;state_q","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
5,0.686,5.000,4.340,4.340,2.088,2.252,7,"gen_lane[3].i_lane/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[4]/D","clk_i","clk_i","","P3 HMATCH reduction/compare","HMATCH;popcount;FSM_state;state_q","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
