claim_scope,ownership_bucket,detail_bucket,resource_class,ref_name,cell_name,parent_name,classification_reason
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[50]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[51]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[52]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[53]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[54]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[55]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[56]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[57]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[58]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[59]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[60]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[61]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[62]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","shared","shared_host_control","ff","FDCE","a_q_reg[63]",".","common request, response, or main-state control"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT2","clr_base_q[2]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT4","clr_base_q[3]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT4","clr_base_q[4]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT3","clr_base_q[5]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_base_q_reg[2]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_base_q_reg[3]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_base_q_reg[4]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_base_q_reg[5]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT2","clr_cnt_q[0]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT3","clr_cnt_q[1]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT4","clr_cnt_q[2]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT6","clr_cnt_q[3]_i_1",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT5","clr_cnt_q[3]_i_2",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT6","clr_cnt_q[3]_i_3",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT4","clr_cnt_q[3]_i_4",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","logic_lut","LUT4","clr_cnt_q[3]_i_5",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_cnt_q_reg[0]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_cnt_q_reg[1]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_cnt_q_reg[2]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","hdc_private","hdc_named_operation","ff","FDCE","clr_cnt_q_reg[3]",".","named HDC operation or private state"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_autoreduce_q_i_1",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_autoreduce_q_i_2",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_autoreduce_q_i_3",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_autoreduce_q_i_4",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT4","ecc_autoreduce_q_i_5",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT5","ecc_autoreduce_q_i_6",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","ff","FDCE","ecc_autoreduce_q_reg",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[0]_i_1",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[0]_i_2",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[0]_i_3",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[1]_i_1",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[1]_i_2",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[1]_i_3",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[1]_i_4",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[1]_i_5",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[1]_i_6",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT3","ecc_dst_q[1]_i_7",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[1]_i_8",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT3","ecc_dst_q[1]_i_9",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT4","ecc_dst_q[1]_i_10",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT2","ecc_dst_q[1]_i_11",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[2]_i_1",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[2]_i_2",".","named ECC field-operation state or control"
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","ecc_field_state_control","logic_lut","LUT6","ecc_dst_q[2]_i_3",".","named ECC field-operation state or control"
