rank,net,fanout,driver_pin,driver_type,data_loads,ce_loads,reset_loads,clock_loads,lut_ram_loads,other_loads,main_load_cells
36,"i_vrf/vrf_b1_reg_r1_0_63_63_63/A1",216,"i_vrf/vrf_b1_reg_r1_0_63_0_2_i_14/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
37,"i_vrf/vrf_b2_reg_r1_0_63_63_63/A0",216,"i_vrf/vrf_b2_reg_r1_0_63_0_2_i_15/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
38,"i_vrf/p_1_in[5]",216,"i_vrf/vrf_b3_reg_r1_0_63_0_2_i_10/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
39,"i_vrf/vrf_b0_reg_r1_0_63_63_63/A1",216,"i_vrf/vrf_b0_reg_r1_0_63_0_2_i_14/O","LUT5",0,0,44,0,172,0,"RAMD64E=216"
40,"i_vrf/lane_result_q[3][63]_i_15_n_0",192,"i_vrf/lane_result_q[3][63]_i_15/O","LUT6",0,0,0,0,192,0,"LUT6=192"
41,"i_vrf/lane_result_q[3][63]_i_17_n_0",192,"i_vrf/lane_result_q[3][63]_i_17/O","LUT6",0,0,0,0,192,0,"LUT6=192"
42,"i_vrf/<const0>",168,"i_vrf/GND/G","GND",0,0,0,0,168,0,"RAMD64E=168"
43,"hperm_lane_base_q[1]",162,"hperm_lane_base_q_reg[1]/Q","FDCE",0,0,0,0,162,0,"LUT5=158;LUT6=4"
44,"hperm_lane_base_q[0]",162,"hperm_lane_base_q_reg[0]/Q","FDCE",0,0,0,0,162,0,"LUT5=158;LUT6=4"
45,"hperm_lane_base_q_reg[1]_rep_n_0",158,"hperm_lane_base_q_reg[1]_rep/Q","FDCE",0,0,0,0,158,0,"LUT5=158"
46,"i_vrf/lane_result_q[3][61]_i_12_0",158,"hperm_lane_base_q_reg[0]_rep__0/Q","FDCE",0,0,0,0,158,0,"LUT5=158"
47,"hperm_lane_base_q_reg[0]_rep_n_0",158,"hperm_lane_base_q_reg[0]_rep/Q","FDCE",0,0,0,0,158,0,"LUT5=158"
48,"i_vrf/lane_result_q[3][61]_i_12_1",158,"hperm_lane_base_q_reg[1]_rep__0/Q","FDCE",0,0,0,0,158,0,"LUT5=158"
49,"i_vrf/lane_result_q[3][60]_i_10_0",158,"hperm_lane_base_q_reg[0]_rep__1/Q","FDCE",0,0,0,0,158,0,"LUT5=158"
50,"i_vrf/lane_result_q[3][60]_i_10_1",158,"hperm_lane_base_q_reg[1]_rep__1/Q","FDCE",0,0,0,0,158,0,"LUT5=158"
