rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
28,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][36]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
29,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][37]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
30,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][44]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
31,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][45]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
32,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][51]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
33,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][52]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
34,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][53]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
35,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][60]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
36,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][61]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
37,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][35]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
38,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][36]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
39,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][37]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
40,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][45]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
41,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][51]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
42,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][52]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
43,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][53]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
44,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][60]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
45,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][61]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
46,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][35]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
47,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][36]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
48,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][37]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
49,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][43]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
50,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][44]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
51,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][45]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
52,0.550,5.000,4.447,1.210,3.237,0.728,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][51]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT6=5"
