bucket,lut_cells,ff_cells,lutram_cells,bram_cells,carry4_cells,other_cells,lut1,lut2,lut3,lut4,lut5,lut6
ecc_exclusive_inv_pmul_schedule,148,74,0,0,0,2,1,33,15,12,20,67
ecc_exclusive_mul_reduce_datapath,1000,382,0,0,0,3,0,8,11,337,230,414
ecc_exclusive_product_scratch,195,0,256,0,0,1,0,0,0,63,1,131
hdc_or_host_control,343,304,0,0,6,8,2,50,68,31,51,141
shared_lane_operator,887,305,0,0,7,1,1,1,165,4,212,504
shared_shift_spread_operator,8,1,0,0,0,0,0,0,2,0,1,5
shared_vrf_bram,3871,0,0,4,0,50,0,410,89,868,520,1984
shared_vrf_top_control,144,14,0,0,0,0,0,11,19,9,8,97
unattributed_top_control,177,634,0,0,0,1,0,21,12,26,22,96
