rank,net,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
53,"i_vrf/vrf_b1_reg_r1_0_63_15_17/WCLK",2848,"",2848,"0;1;2;3",1
54,"i_vrf/vrf_b1_reg_r1_0_63_18_20/WCLK",2848,"",2848,"0;1;2;3",1
55,"i_vrf/vrf_b1_reg_r1_0_63_21_23/WCLK",2848,"",2848,"0;1;2;3",1
56,"i_vrf/vrf_b1_reg_r1_0_63_24_26/WCLK",2848,"",2848,"0;1;2;3",1
57,"i_vrf/vrf_b1_reg_r1_0_63_27_29/WCLK",2848,"",2848,"0;1;2;3",1
58,"i_vrf/vrf_b1_reg_r1_0_63_30_32/WCLK",2848,"",2848,"0;1;2;3",1
59,"i_vrf/vrf_b1_reg_r1_0_63_33_35/WCLK",2848,"",2848,"0;1;2;3",1
60,"i_vrf/vrf_b1_reg_r1_0_63_36_38/WCLK",2848,"",2848,"0;1;2;3",1
61,"i_vrf/vrf_b1_reg_r1_0_63_39_41/WCLK",2848,"",2848,"0;1;2;3",1
62,"i_vrf/vrf_b1_reg_r1_0_63_3_5/WCLK",2848,"",2848,"0;1;2;3",1
63,"i_vrf/vrf_b1_reg_r1_0_63_42_44/WCLK",2848,"",2848,"0;1;2;3",1
64,"i_vrf/vrf_b1_reg_r1_0_63_45_47/WCLK",2848,"",2848,"0;1;2;3",1
65,"i_vrf/vrf_b1_reg_r1_0_63_48_50/WCLK",2848,"",2848,"0;1;2;3",1
66,"i_vrf/vrf_b1_reg_r1_0_63_51_53/WCLK",2848,"",2848,"0;1;2;3",1
67,"i_vrf/vrf_b1_reg_r1_0_63_54_56/WCLK",2848,"",2848,"0;1;2;3",1
68,"i_vrf/vrf_b1_reg_r1_0_63_57_59/WCLK",2848,"",2848,"0;1;2;3",1
69,"i_vrf/vrf_b1_reg_r1_0_63_60_62/WCLK",2848,"",2848,"0;1;2;3",1
70,"i_vrf/vrf_b1_reg_r1_0_63_63_63/WCLK",2848,"",2848,"0;1;2;3",1
71,"i_vrf/vrf_b1_reg_r1_0_63_6_8/WCLK",2848,"",2848,"0;1;2;3",1
72,"i_vrf/vrf_b1_reg_r1_0_63_9_11/WCLK",2848,"",2848,"0;1;2;3",1
73,"i_vrf/vrf_b1_reg_r2_0_63_0_2/WCLK",2848,"",2848,"0;1;2;3",1
74,"i_vrf/vrf_b1_reg_r2_0_63_12_14/WCLK",2848,"",2848,"0;1;2;3",1
75,"i_vrf/vrf_b1_reg_r2_0_63_15_17/WCLK",2848,"",2848,"0;1;2;3",1
76,"i_vrf/vrf_b1_reg_r2_0_63_18_20/WCLK",2848,"",2848,"0;1;2;3",1
77,"i_vrf/vrf_b1_reg_r2_0_63_21_23/WCLK",2848,"",2848,"0;1;2;3",1
78,"i_vrf/vrf_b1_reg_r2_0_63_24_26/WCLK",2848,"",2848,"0;1;2;3",1
79,"i_vrf/vrf_b1_reg_r2_0_63_27_29/WCLK",2848,"",2848,"0;1;2;3",1
80,"i_vrf/vrf_b1_reg_r2_0_63_30_32/WCLK",2848,"",2848,"0;1;2;3",1
81,"i_vrf/vrf_b1_reg_r2_0_63_33_35/WCLK",2848,"",2848,"0;1;2;3",1
82,"i_vrf/vrf_b1_reg_r2_0_63_36_38/WCLK",2848,"",2848,"0;1;2;3",1
83,"i_vrf/vrf_b1_reg_r2_0_63_39_41/WCLK",2848,"",2848,"0;1;2;3",1
84,"i_vrf/vrf_b1_reg_r2_0_63_3_5/WCLK",2848,"",2848,"0;1;2;3",1
85,"i_vrf/vrf_b1_reg_r2_0_63_42_44/WCLK",2848,"",2848,"0;1;2;3",1
86,"i_vrf/vrf_b1_reg_r2_0_63_45_47/WCLK",2848,"",2848,"0;1;2;3",1
87,"i_vrf/vrf_b1_reg_r2_0_63_48_50/WCLK",2848,"",2848,"0;1;2;3",1
88,"i_vrf/vrf_b1_reg_r2_0_63_51_53/WCLK",2848,"",2848,"0;1;2;3",1
89,"i_vrf/vrf_b1_reg_r2_0_63_54_56/WCLK",2848,"",2848,"0;1;2;3",1
90,"i_vrf/vrf_b1_reg_r2_0_63_57_59/WCLK",2848,"",2848,"0;1;2;3",1
91,"i_vrf/vrf_b1_reg_r2_0_63_60_62/WCLK",2848,"",2848,"0;1;2;3",1
92,"i_vrf/vrf_b1_reg_r2_0_63_63_63/WCLK",2848,"",2848,"0;1;2;3",1
93,"i_vrf/vrf_b1_reg_r2_0_63_6_8/WCLK",2848,"",2848,"0;1;2;3",1
94,"i_vrf/vrf_b1_reg_r2_0_63_9_11/WCLK",2848,"",2848,"0;1;2;3",1
95,"i_vrf/vrf_b2_reg_r1_0_63_0_2/WCLK",2848,"",2848,"0;1;2;3",1
96,"i_vrf/vrf_b2_reg_r1_0_63_12_14/WCLK",2848,"",2848,"0;1;2;3",1
97,"i_vrf/vrf_b2_reg_r1_0_63_15_17/WCLK",2848,"",2848,"0;1;2;3",1
98,"i_vrf/vrf_b2_reg_r1_0_63_18_20/WCLK",2848,"",2848,"0;1;2;3",1
99,"i_vrf/vrf_b2_reg_r1_0_63_21_23/WCLK",2848,"",2848,"0;1;2;3",1
100,"i_vrf/vrf_b2_reg_r1_0_63_24_26/WCLK",2848,"",2848,"0;1;2;3",1
