pattern,object_name,object_type,ref_name,hierarchy,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_0",net,,"gen_lane[0].i_p2_pop_slice",1,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/CO[3]",1,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_1",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/CO[2]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_2",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/CO[1]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_3",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/CO[0]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_4",net,,"gen_lane[0].i_p2_pop_slice",1,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/O[3]",1,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_5",net,,"gen_lane[0].i_p2_pop_slice",1,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/O[2]",1,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_6",net,,"gen_lane[0].i_p2_pop_slice",1,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/O[1]",1,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9_n_7",net,,"gen_lane[0].i_p2_pop_slice",1,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[10]_i_9/O[0]",1,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7][0]",net,,"gen_lane[0].i_p2_pop_slice",3,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/O[0]",3,"1;2",1
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7][1]",net,,"gen_lane[0].i_p2_pop_slice",3,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/O[1]",3,"1;2",1
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7][2]",net,,"gen_lane[0].i_p2_pop_slice",2,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/O[2]",2,"0;1",1
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7][3]",net,,"gen_lane[0].i_p2_pop_slice",2,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_3/O[3]",2,"0;2",1
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11_n_0",net,,"gen_lane[0].i_p2_pop_slice",1,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11/CO[3]",1,"0",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11_n_1",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11/CO[2]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11_n_2",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11/CO[1]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11_n_3",net,,"gen_lane[0].i_p2_pop_slice",0,"gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_11/CO[0]",0,"",0
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_2[0]",net,,"gen_lane[0].i_p2_pop_slice",2,"gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[6]/Q",2,"0;1",1
"i_p2_pop_slice","gen_lane[0].i_p2_pop_slice/hsim_total_q_reg[7]_i_2_0[0]",net,,"gen_lane[0].i_p2_pop_slice",2,"gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[6]/Q",2,"0;1",1
