"path_class","count","failing_count","worst_rank","worst_slack_ns","max_delay_ns","worst_startpoint","worst_endpoint"
"P2 popcount capture","24","20","1","-1.075","6.072","i_vrf/bank_ra_data_o_reg[0][43]/C","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[4]/D"
"HMATCH reduction/compare","54","12","13","-0.829","5.826","hsim_total_q_reg[0]/C","hmatch_update_q_reg/D"
"VRF/read/writeback","776","776","14","-0.511","5.508","uop_p0_q_reg[op_type][1]/C","i_vrf/bank_ra_data_o_reg[0][0]/D"
"scalar response","64","64","790","-0.167","4.956","a_q_reg[8]/C","res_q_reg[0]/CE"
"other","4","4","865","-0.140","4.929","a_q_reg[8]/C","hmatch_class_slot_q_reg[0]/CE"
"TOP control","32","0","917","0.458","4.539","a_q_reg[8]/C","uop_p0_q_reg[arch_op][0]/D"
"P2 lane result capture","46","0","955","0.689","4.308","FSM_onehot_st_q_reg[3]/C","lane_result_q_reg[1][10]/D"
