rank,slack_ns,required_time_ns,arrival_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,startpoint_clock,endpoint_clock,path_group,major_hdec_stage_guess,key_path_tokens,main_cells
1,-1.866,5.000,6.864,6.864,2.755,4.109,6,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[5]/D","clk_i","clk_i","","P2 popcount/control","popcount;hdec_p2_pop_slice","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
2,-1.866,5.000,6.864,6.864,2.755,4.109,6,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[6]/D","clk_i","clk_i","","P2 popcount/control","popcount;hdec_p2_pop_slice","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
3,-1.866,5.000,6.864,6.864,2.755,4.109,6,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[5]/D","clk_i","clk_i","","P2 popcount/control","popcount;hdec_p2_pop_slice","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
4,-1.866,5.000,6.864,6.864,2.755,4.109,6,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[6]/D","clk_i","clk_i","","P2 popcount/control","popcount;hdec_p2_pop_slice","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
5,-1.866,5.000,6.864,6.864,2.755,4.109,6,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[5]/D","clk_i","clk_i","","P2 popcount/control","popcount;hdec_p2_pop_slice","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
