claim_scope,physical_lut_key,loc,lut_letter,logical_lut_cell_count,ownership_set,physical_class,counted_ecc_private_lower_bound,logical_cell_names
"route_physical_ecc_private_lower_bound","SLICE_X41Y32/D","SLICE_X41Y32","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_36"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/A","SLICE_X41Y33","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_8;i_vec/popcount_part_q[3][1][4]_i_15"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/B","SLICE_X41Y33","B","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_22;i_vec/popcount_part_q[3][1][4]_i_23"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/C","SLICE_X41Y33","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_12"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/D","SLICE_X41Y33","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_12"
"route_physical_ecc_private_lower_bound","SLICE_X41Y34/D","SLICE_X41Y34","D","2","shared","shared_only","0","i_vec/popcount_part_q[3][0][3]_i_1;i_vec/popcount_part_q[3][0][4]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X41Y35/A","SLICE_X41Y35","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X41Y35/B","SLICE_X41Y35","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][2]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X41Y35/C","SLICE_X41Y35","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_8"
"route_physical_ecc_private_lower_bound","SLICE_X41Y35/D","SLICE_X41Y35","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][4]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X41Y36/A","SLICE_X41Y36","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_4;i_vec/popcount_part_q[3][1][4]_i_21"
"route_physical_ecc_private_lower_bound","SLICE_X41Y36/B","SLICE_X41Y36","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][3]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X41Y36/C","SLICE_X41Y36","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_5"
"route_physical_ecc_private_lower_bound","SLICE_X41Y36/D","SLICE_X41Y36","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X41Y37/A","SLICE_X41Y37","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X41Y37/B","SLICE_X41Y37","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_17"
"route_physical_ecc_private_lower_bound","SLICE_X42Y12/A","SLICE_X42Y12","A","1","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][3]_i_7"
"route_physical_ecc_private_lower_bound","SLICE_X42Y13/A","SLICE_X42Y13","A","1","hdc_private","hdc_private_only","0","hmatch_class_slot_q[1]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y13/B","SLICE_X42Y13","B","2","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][4]_i_10;uop_p0_q[src1_addr][5]_i_11"
"route_physical_ecc_private_lower_bound","SLICE_X42Y13/C","SLICE_X42Y13","C","1","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][4]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X42Y13/D","SLICE_X42Y13","D","1","hdc_private","hdc_private_only","0","uop_p0_q[src1_addr][5]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X42Y14/A","SLICE_X42Y14","A","2","hdc_private","hdc_private_only","0","hmatch_class_slot_q[0]_i_1;uop_p0_q[src0_addr][0]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X42Y14/B","SLICE_X42Y14","B","1","hdc_private","hdc_private_only","0","hmatch_class_slot_q[3]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X42Y14/C","SLICE_X42Y14","C","2","hdc_private","hdc_private_only","0","hmatch_class_slot_q[3]_i_4;uop_p0_q[src0_addr][5]_i_5"
"route_physical_ecc_private_lower_bound","SLICE_X42Y14/D","SLICE_X42Y14","D","1","hdc_private","hdc_private_only","0","hmatch_class_slot_q[2]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y16/A","SLICE_X42Y16","A","1","hdc_private","hdc_private_only","0","hmatch_class_slot_q[3]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y16/B","SLICE_X42Y16","B","1","hdc_private","hdc_private_only","0","clr_cnt_q[3]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X42Y17/A","SLICE_X42Y17","A","2","hdc_private","hdc_private_only","0","hmatch_last_idx_q[0]_i_1;hmatch_last_idx_q[1]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y17/B","SLICE_X42Y17","B","1","hdc_private","hdc_private_only","0","hmatch_last_idx_q[2]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X42Y17/C","SLICE_X42Y17","C","2","hdc_private","hdc_private_only","0","uop_p0_q[class_idx][0]_i_1;uop_p0_q[is_last_class]_i_5"
